date,dl_traffic_volume_gb,connected_users
2/23/2025,1100.13,490.21
2/24/2025,1001.95,470.02
2/25/2025,1051.23,471.97
2/26/2025,1013.57,460.09
2/27/2025,999.68,450.78
2/28/2025,1108.74,472.31
3/1/2025,1066.97,468.03
3/2/2025,1175.71,492.14
3/3/2025,1020.05,461.81
3/4/2025,1065.74,467.73
3/5/2025,1061.61,461.49
3/6/2025,1072.52,468.83
3/7/2025,1035.9,478.79
3/8/2025,1108.26,504.65
3/9/2025,785.78,398.33
3/10/2025,1039.2,472.06
3/11/2025,1109.1,489.52
3/12/2025,1062.22,484.81
3/13/2025,1124.59,504.35
3/14/2025,1076.06,496.92
3/15/2025,1120.11,489.82
3/16/2025,1100.27,499.63
3/17/2025,1093.89,486.6
3/18/2025,1104.72,490.5
3/19/2025,1093.95,483.2
3/20/2025,1094.34,480.4
3/21/2025,1109.39,481.23
3/22/2025,1103.75,497.07
3/23/2025,1138.39,505.4
3/24/2025,1073.41,477.08
3/25/2025,1107.37,480.55
3/26/2025,1095.49,485.38
3/27/2025,1159.35,496.52
3/28/2025,1124.67,497.38
3/29/2025,1131.24,510.88
3/30/2025,1132.04,515
3/31/2025,1125.41,536.97
4/1/2025,1034.77,489.9
4/2/2025,1039.51,474.95
4/3/2025,1049.43,495.31
4/4/2025,1094.94,482.5
4/5/2025,1063,454.74
4/6/2025,1083.59,481.3
4/7/2025,1046.26,466.46
4/8/2025,1066.76,468.96
4/9/2025,1062.99,473.86
4/10/2025,1003.93,472.35
4/11/2025,1085.35,495.95
4/12/2025,1169.76,525.92
4/13/2025,1213.12,559.9
4/14/2025,1247.18,592.76
4/15/2025,1252.83,562.41
4/16/2025,1244.23,546.47
4/17/2025,1209.73,533.17
4/18/2025,1213.14,537.55
4/19/2025,1158.62,529.86
4/20/2025,1224.42,540.48
4/21/2025,1085.37,489.25
4/22/2025,1127.67,493.36
4/23/2025,1124.05,500.6
4/24/2025,1158.63,495.34
4/25/2025,1133.62,483.66
4/26/2025,1123.03,500.99
4/27/2025,1115.77,500.06
4/28/2025,969.07,456.62
4/29/2025,956.52,439.07
4/30/2025,1121.01,483.19
5/1/2025,1263.4,536.22
5/2/2025,1173.04,505.2
5/3/2025,1219.36,534.36
5/4/2025,1260.89,539.55
5/5/2025,1154.55,515.49
5/6/2025,1209.35,569.27
5/7/2025,1107.19,536.24
5/8/2025,1047.37,495.77
5/9/2025,1076.47,500.1
5/10/2025,1106.14,518
5/11/2025,1097.89,519.09
5/12/2025,1078.13,515.69
5/13/2025,1197.82,537.56
5/14/2025,1038.29,490.21
5/15/2025,1060.35,491.86
5/16/2025,1160.61,507.81
5/17/2025,1183.38,519.78
5/18/2025,1177.47,529.92
5/19/2025,1107.7,509.06
5/20/2025,1096.25,509.02
5/21/2025,1120.79,514.64
5/22/2025,1101.71,515.12
5/23/2025,1094.01,514.65
5/24/2025,1114.22,521.08
5/25/2025,1136.51,537.12
5/26/2025,1038.15,505.68
5/27/2025,1038.97,508.03
5/28/2025,1002.06,503.93
5/29/2025,1013.84,503.72
5/30/2025,934.94,474.97
5/31/2025,1115.76,524.36
6/1/2025,1135.17,531.04
6/2/2025,1075.32,506.8
6/3/2025,1095.99,514.8
6/4/2025,983.49,494.29
6/5/2025,1081.35,519.93
6/6/2025,1114.33,537.26
6/7/2025,1159.44,576.18
6/8/2025,1120.04,556.42
6/9/2025,1088.42,545.56
6/10/2025,1033.71,511.64
